tractid,tracta,countya,statea,pop19,incpc19
36005046201,Census Tract 462.01, Bronx County, New York,28109,30503
36005046202,Census Tract 462.02, Bronx County, New York,9912,21428
36005022500,Census Tract 225, Bronx County, New York,8499,18567
36005022800,Census Tract 228, Bronx County, New York,6128,27588
36005023200,Census Tract 232, Bronx County, New York,2476,23771
36005004600,Census Tract 46, Bronx County, New York,1961,15950
36005006000,Census Tract 60, Bronx County, New York,1386,15467
36005007000,Census Tract 70, Bronx County, New York,4378,20516
36005007300,Census Tract 73, Bronx County, New York,4297,10721
36005007400,Census Tract 74, Bronx County, New York,3634,23585
36005007500,Census Tract 75, Bronx County, New York,6692,15757
36005007700,Census Tract 77, Bronx County, New York,2022,15281
36081049600,Census Tract 496, Queens County, New York,3146,31497
36081050000,Census Tract 500, Queens County, New York,4279,24669
36081050800,Census Tract 508, Queens County, New York,2008,28569
36081015500,Census Tract 155, Queens County, New York,2358,47709
36081017200,Census Tract 172, Queens County, New York,1913,27799
36081033402,Census Tract 334.02, Queens County, New York,12854,30243
36081033900,Census Tract 339, Queens County, New York,2677,26606
36081036500,Census Tract 365, Queens County, New York,2992,16315
36081036800,Census Tract 368, Queens County, New York,2495,32387
36081040000,Census Tract 400, Queens County, New York,1529,34056
36081040200,Census Tract 402, Queens County, New York,1640,34567
36081059500,Census Tract 595, Queens County, New York,5533,27024
36081056400,Census Tract 564, Queens County, New York,1178,30761
36081059200,Census Tract 592, Queens County, New York,1516,45600
36081061000,Census Tract 610, Queens County, New York,1551,38185
36081061400,Census Tract 614, Queens County, New York,1414,39697
36081063200,Census Tract 632, Queens County, New York,2601,36560
36081063301,Census Tract 633.01, Queens County, New York,1704,34065
36081064101,Census Tract 641.01, Queens County, New York,2388,36791
36005008900,Census Tract 89, Bronx County, New York,3218,16556
36005009800,Census Tract 98, Bronx County, New York,4756,28494
36005012500,Census Tract 125, Bronx County, New York,3860,19533
36005014900,Census Tract 149, Bronx County, New York,4419,15822
36005019700,Census Tract 197, Bronx County, New York,7561,16816
36005022000,Census Tract 220, Bronx County, New York,2007,21758
36005022702,Census Tract 227.02, Bronx County, New York,1607,15428
36005023100,Census Tract 231, Bronx County, New York,1537,11845
36005023501,Census Tract 235.01, Bronx County, New York,3184,13728
36005001600,Census Tract 16, Bronx County, New York,5825,22577
36005002400,Census Tract 24, Bronx County, New York,155,59542
36005003100,Census Tract 31, Bronx County, New York,1689,21643
36005003800,Census Tract 38, Bronx County, New York,1350,23494
36005004100,Census Tract 41, Bronx County, New York,5942,13257
36005011900,Census Tract 119, Bronx County, New York,5440,14462
36005011502,Census Tract 115.02, Bronx County, New York,4582,13007
36005014100,Census Tract 141, Bronx County, New York,5851,17253
36005015100,Census Tract 151, Bronx County, New York,5309,15388
36005015300,Census Tract 153, Bronx County, New York,4474,18534
36005015500,Census Tract 155, Bronx County, New York,2927,13031
36005023600,Census Tract 236, Bronx County, New York,1816,19747
36005024300,Census Tract 243, Bronx County, New York,5737,14185
36047000501,Census Tract 5.01, Kings County, New York,4308,77106
36047000502,Census Tract 5.02, Kings County, New York,2697,111840
36047001500,Census Tract 15, Kings County, New York,9011,63096
36047035601,Census Tract 356.01, Kings County, New York,2834,26725
36047035602,Census Tract 356.02, Kings County, New York,5529,28938
36047037401,Census Tract 374.01, Kings County, New York,4376,33975
36047037402,Census Tract 374.02, Kings County, New York,4937,25516
36047004400,Census Tract 44, Kings County, New York,2518,62429
36047005300,Census Tract 53, Kings County, New York,2167,57686
36047011900,Census Tract 119, Kings County, New York,1322,52265
36047015200,Census Tract 152, Kings County, New York,2499,37224
36047016600,Census Tract 166, Kings County, New York,1791,56013
36047021100,Census Tract 211, Kings County, New York,2206,33098
36047012600,Census Tract 126, Kings County, New York,2838,22429
36047027100,Census Tract 271, Kings County, New York,3103,37417
36047030500,Census Tract 305, Kings County, New York,6528,47412
36047028200,Census Tract 282, Kings County, New York,3762,30056
36047028800,Census Tract 288, Kings County, New York,3836,23277
36047029000,Census Tract 290, Kings County, New York,3580,28473
36047026500,Census Tract 265, Kings County, New York,4118,46064
36047040600,Census Tract 406, Kings County, New York,3692,23030
36047047600,Census Tract 476, Kings County, New York,3385,18390
36047054200,Census Tract 542, Kings County, New York,4008,27359
36047021900,Census Tract 219, Kings County, New York,3557,49024
36047025300,Census Tract 253, Kings County, New York,3496,28893
36005042902,Census Tract 429.02, Bronx County, New York,4041,19588
36005033000,Census Tract 330, Bronx County, New York,5776,18979
36005035800,Census Tract 358, Bronx County, New York,8172,30920
36005037100,Census Tract 371, Bronx County, New York,4226,18990
36005038500,Census Tract 385, Bronx County, New York,4766,15595
36005042100,Census Tract 421, Bronx County, New York,5661,20345
36005045101,Census Tract 451.01, Bronx County, New York,1455,49386
36005011800,Census Tract 118, Bronx County, New York,5503,31107
36005020400,Census Tract 204, Bronx County, New York,3011,23094
36005024800,Census Tract 248, Bronx County, New York,3078,31651
36005040800,Census Tract 408, Bronx County, New York,4826,18399
36005048400,Census Tract 484, Bronx County, New York,4277,30880
36005024700,Census Tract 247, Bronx County, New York,2058,21946
36005026602,Census Tract 266.02, Bronx County, New York,5084,31367
36005036400,Census Tract 364, Bronx County, New York,2565,29264
36005044902,Census Tract 449.02, Bronx County, New York,2041,40329
36005022300,Census Tract 223, Bronx County, New York,5278,13508
36005025400,Census Tract 254, Bronx County, New York,1997,27870
36005029600,Census Tract 296, Bronx County, New York,1575,36560
36005037600,Census Tract 376, Bronx County, New York,2197,26535
36005002701,Census Tract 27.01, Bronx County, New York,2608,10564
36005006500,Census Tract 65, Bronx County, New York,5377,13532
36005000100,Census Tract 1, Bronx County, New York,6864,3341
36005006700,Census Tract 67, Bronx County, New York,6705,28917
36005040702,Census Tract 407.02, Bronx County, New York,7023,19607
36005015700,Census Tract 157, Bronx County, New York,4704,20523
36005038000,Census Tract 380, Bronx County, New York,5239,18729
36005002500,Census Tract 25, Bronx County, New York,5610,13067
36005006100,Census Tract 61, Bronx County, New York,3720,32501
36005022701,Census Tract 227.01, Bronx County, New York,5151,18221
36081148300,Census Tract 1483, Queens County, New York,2900,65176
36081157903,Census Tract 1579.03, Queens County, New York,4741,28826
36081162100,Census Tract 1621, Queens County, New York,6363,28651
36081112300,Census Tract 1123, Queens County, New York,2058,43381
36081116100,Census Tract 1161, Queens County, New York,4301,17506
36081116300,Census Tract 1163, Queens County, New York,9346,17087
36081125700,Census Tract 1257, Queens County, New York,3248,21907
36081139900,Census Tract 1399, Queens County, New York,1666,44413
36081140901,Census Tract 1409.01, Queens County, New York,990,34919
36081144100,Census Tract 1441, Queens County, New York,2662,53296
36081144700,Census Tract 1447, Queens County, New York,3109,30227
36081152901,Census Tract 1529.01, Queens County, New York,6916,42377
36081157901,Census Tract 1579.01, Queens County, New York,5073,47992
36081103201,Census Tract 1032.01, Queens County, New York,6509,17354
36081109700,Census Tract 1097, Queens County, New York,1598,45256
36081124100,Census Tract 1241, Queens County, New York,3666,36989
36081134100,Census Tract 1341, Queens County, New York,3358,34227
36081137700,Census Tract 1377, Queens County, New York,7123,32141
36081150701,Census Tract 1507.01, Queens County, New York,3036,54496
36081155102,Census Tract 1551.02, Queens County, New York,8929,42953
36081010500,Census Tract 105, Queens County, New York,4522,30355
36081009500,Census Tract 95, Queens County, New York,2276,37572
36047024900,Census Tract 249, Kings County, New York,4018,44807
36047025600,Census Tract 256, Kings County, New York,3199,17426
36047027800,Census Tract 278, Kings County, New York,3118,28625
36047028501,Census Tract 285.01, Kings County, New York,454,27876
36047028900,Census Tract 289, Kings County, New York,3619,22459
36047029100,Census Tract 291, Kings County, New York,2991,38993
36047016900,Census Tract 169, Kings County, New York,4822,68281
36047036400,Census Tract 364, Kings County, New York,2443,23645
36047037300,Census Tract 373, Kings County, New York,4486,28442
36047008000,Census Tract 80, Kings County, New York,3615,28724
36047008800,Census Tract 88, Kings County, New York,2235,36881
36047009200,Census Tract 92, Kings County, New York,5322,21670
36047009800,Census Tract 98, Kings County, New York,6479,16217
36047010100,Census Tract 101, Kings County, New York,4001,33702
36047012801,Census Tract 128.01, Kings County, New York,2293,21301
36047013100,Census Tract 131, Kings County, New York,4155,86437
36047013500,Census Tract 135, Kings County, New York,4014,75721
36047014000,Census Tract 140, Kings County, New York,1986,40771
36047014100,Census Tract 141, Kings County, New York,2766,62069
36047017700,Census Tract 177, Kings County, New York,0,NA
36047018100,Census Tract 181, Kings County, New York,3691,77867
36047018600,Census Tract 186, Kings County, New York,2155,27896
36047019300,Census Tract 193, Kings County, New York,5882,31719
36047035400,Census Tract 354, Kings County, New York,5765,37941
36047087401,Census Tract 874.01, Kings County, New York,3759,24895
36047088400,Census Tract 884, Kings County, New York,4401,24970
36005009200,Census Tract 92, Bronx County, New York,5848,23626
36005012701,Census Tract 127.01, Bronx County, New York,1928,17720
36005013500,Census Tract 135, Bronx County, New York,3590,18187
36005013800,Census Tract 138, Bronx County, New York,2588,33177
36005016100,Census Tract 161, Bronx County, New York,4650,13499
36005017100,Census Tract 171, Bronx County, New York,0,NA
